oper_num	bid_sector	iati_sector	description
IADB-ME-L1050	AS	14020	The Program includes three components: i) development and/or institutional strethening; II) participation and communitarian self-management; and iii) potable water and sanitation infrastructure.
IADB-ME-L1098	DU-NEI	16040	"Support the efforts of the GOM to alleviate urban poverty and improve the quality of life of households that live below the ""pobreza patrimonial"" line. It will do so by means of providing access to basic social and infrastructure services in geographical areas that have been identified to have large service deficits."
IADB-ME-L1059	RM-DES	15112	The overall program objective is to contribute to sustainable development in the states of Mexico by strengthening their capacity for planning, fiscal management and investment, as well as through the design and implementation of investment projects within a framework of fiscal sustainability in the medium and long term.
XM-DAC-301-2-106900-001	00005	15170	The political participation of women in Mexico has increased dramatically in the past 15 years. Mexico's major opening up of its political and electoral processes, combined with the growth of a new civic culture, has created unprecedented opportunities for women and other repressed or ignored groups to participate in the nation's political life.This research will examine the participation of women legislators in the Chamber of Deputies, and evaluate strengths and weaknesses. It will test existing methodologies and generate new indicators to measure women's impact on the country's priority agenda issues. The project coincides with Mexico's federal electoral campaign.
XM-DAC-301-2-106879-001	00004	16020	Concerns about unemployment and underemployment, and the impact of employment on well-being, social inclusion, and political stability, have risen rapidly on global and national agendas in recent years. This project will provide a case study for the 2013 World Development Report on Jobs.The World Development Report is the World Bank's flagship contribution to the international development debate and to policy development for international financial institutions. This Mexico case study is part of a series of case studies of different developmental contexts. Empirical research focusing on the connection between jobs and economic and social development in Mexico will help identify obstacles to sustained job creation. The case study examines three transformations in the development process: raising living standards, increasing overall productivity, and enhancing social cohesion.Conferencia Interamericana de Seguridad Social is leading the project, with support from IDRC. The the case studies will also be published separately and findings disseminated to policy circles. The work is expected to influence research and policy in Mexico and other parts of the region.
XM-DAC-301-2-106879-002	00004	16020	Concerns about unemployment and underemployment, and the impact of employment on well-being, social inclusion, and political stability, have risen rapidly on global and national agendas in recent years. This project will provide a case study for the 2013 World Development Report on Jobs.The World Development Report is the World Bank's flagship contribution to the international development debate and to policy development for international financial institutions. This Mexico case study is part of a series of case studies of different developmental contexts. Empirical research focusing on the connection between jobs and economic and social development in Mexico will help identify obstacles to sustained job creation. The case study examines three transformations in the development process: raising living standards, increasing overall productivity, and enhancing social cohesion.Conferencia Interamericana de Seguridad Social is leading the project, with support from IDRC. The the case studies will also be published separately and findings disseminated to policy circles. The work is expected to influence research and policy in Mexico and other parts of the region.
XM-DAC-301-2-106782-001	00005	16063	"Violent conflict related to drug trafficking in Mexico has had a profound impact on the quality of life and health of affected communities. Nevertheless, there is very little evidence about who these victims are, how they are victimized, and what the state's response to these victims has been or should be.In the past five years, violent conflict has risen significantly in many parts of Mexico, mostly due to illegal drug trafficking and  the government's response to it, widely known as the""war on drugs.""Although everyone agrees that an epidemic of violence exists and is claiming many direct and indirect victims, there is no reliable data on how many civilians have died in clashes between security forces and drug traffickers or in executions related to the drug trade. The extent of violence committed against women is also unknown, as is the number of people who have moved to escape the violence.Researchers will undertake a qualitative study of six municipalities in Mexico that are experiencing different levels of violence associated with the war on drugs. Its focus is on the experience of victims and the state's response to victimization. Of particular interest is the need to document the forms of victimization that women and children undergo.The evidence researchers gather will help produce a more accurate picture of the impact that the war on drugs is having on individuals and communities. The goal is to use this evidence to help create legal frameworks and institutional reforms that will allow Mexican institutions to respond adequately to the situation.Expected outcomes of the research include a handbook that outlines services and programs for victims of violent crimes in the study areas, a guide and training module that focuses on special services for women and children, training for young researchers to increase their capacity to influence public policy, and the launch of a website."
XM-DAC-301-2-106969-001	00005	12110	Inequities in accessing health care and related services in Mexico are markedly higher among indigenous peoples, especially women and other vulnerable groups.Access to health care is a basic right guaranteed by the Mexican constitution. However, the decentralization of responsibility for health from the federal to the state level has resulted in a misalignment between power and responsibility on the one hand, and transparency and accountability on the other. As a result, some areas of Mexico - notably the southern states with large indigenous populations - have experienced disproportionately higher health inequities. Maternal mortality rates, for example, are nearly three times higher than the national average in parts of the country with large indigenous populations.Addressing these inequities requires strategies for influencing public health policy and garnering political will. Reclaiming transparency and accountability at different levels of government will be central to this process. Civil society organizations (CSOs) can play an important role in helping indigenous women and other vulnerable groups articulate and demand better health services. However, those states with the highest inequities are also among those with the most under-developed civil society.This research project will examine the role Mexican CSOs play in influencing more equitable public health policies and processes to improve indigenous women's health. Working with researchers, advocacy groups, and different levels of government, it will generate evidence on the nature and extent of CSO involvement and interaction with other stakeholders. The project will develop a theoretical framework for examining CSO strategies, coalitions, tools, and advocacy practices and will support research that analyzes how they can better influence public health policy in Mexico. Workshops and seminars will encourage dialogue and debate, and communicate the findings widely.The project will generate original research and a shared theoretical framework that can be applied to further study. Peer-reviewed publications, policy briefs, and audio-visual products will communicate findings to different audiences. The research will also raise awareness of the benefits of civil society participation and produce sound evidence that can help build strategic coalitions and influence policy.
XM-DAC-301-2-106762-001	00004	15130	Outdated and inefficient labour laws and courts make it difficult for workers in Mexico to resolve labour disputes and secure compensation.Although Mexico has rebounded from its 2009 slump, the country's labour market has yet to return to its pre-recession state. Nationally, the official unemployment rate is 5%, only slightly lower than in 2009. Newly created jobs are not as good as those jobs lost during the downturn.Traditionally, labour regulations in Mexico are based on the Mexican Constitution of 1917 and Mexico's Federal Labour Law. All Mexican workers enjoy protection thanks to rules that govern working conditions, labour contracts, minimum wages, employee benefits, and union activity. If the rules are violated, workers have the right to file suit in the labour courts. However, labour courts, known as juntas, have become an obstacle in themselves.Of all workers who go to court and obtain compensation from the court (usually 20% less than what they requested), less than half end up receiving the compensation awarded by the courts. Even worse, the workers'legal costs tend to represent half of any compensation received.Research led by the Instituto Tecnológico de México focuses on the country's legal environment and aims to address the administrative procedures related to rulings and notifications that impede justice for Mexican workers. In a case study of a large court in Cuautitlan in the State of Mexico, researchers will examine two procedures that they believe will shed light on what policy options could work best: (1) improved processing of decisions to reduce clerical errors; and (2) improved notification processes.The research will examine the effects of two interventions: correcting clerical errors and providing on-the-job training to court clerks. Research results are also expected to inform the operations of other Mexican courts, as well as courts elsewhere in Latin America.
XM-DAC-41114-OUTPUT-00079977	1	23010	Eliminar el uso de HCFCs en su producción de espumas de aislamiento rígido de poliuretano en los  refrigeradores domésticos.
XM-DAC-301-2-105559-002	00005	15170	This project aims to deepen understanding of the specific types of discrimination experienced by indigenous women based on gender, class and ethnic aspects of their identity. Teams of indigenous women have been formed in each of Argentina, Colombia and Mexico and each team has selected specific themes requiring investigation: education, health and the impact of armed conflict on indigenous women. The research will be grounded in women's experiences, and complemented by the use of sociological and legal instruments, as well as an adjudicative strategy that makes use of national legal systems and the Inter-American Human Rights system. The research is expected to contribute to social and legal reforms aimed at reducing the multiple forms of discrimination experienced by indigenous women, and promote the proper implementation of current legislation in the three countries involved and at the international level.
IADB-ME-L1055	FM-BNK	24010	The program aims to increase investment in projects with positive environmental impact and investment in fixed assets of the rural productive units in areas of high marginalization, through access to medium- and long-term credit.
XM-DAC-301-2-106954-002	00004	12110	"Tobacco use in many Latin American countries is high among  boys, girls, men, and women. However, research has yet to explore differences in cigarette smoking rates between lower- and higher-income groups in middle-income countries such as Brazil, Mexico, and Uruguay. Meanwhile, existing studies on the impact of tobacco taxes are based on average""price elasticity of demand,""a measure that shows how overall demand for cigarettes shifts in response to a change in price but ignores the income distribution effects of raising taxes.This research will focus on Brazil, Mexico, and Uruguay as a multi-country case study for Latin America. These countries were selected because they have relatively advanced tobacco control policies and have available data - primarily the Global Adult Tobacco Survey (GATS). These countries also have tobacco control researchers with the capacity to work with this data.Using a common methodology, research teams in the three countries will evaluate-the evolution of smoking inequalities;-the broad impact of tax and other tobacco control policies on per capita consumption;-the different price elasticities according to economic and social groups, allowing for the discussion of the income distribution effect of taxes; and-how other tobacco control policies affect smoking behaviours of different groups of smokersResearchers  will describe in detail smoking inequalities and tobacco control interventions of the past decade, especially fiscal policies. They will also use econometric demand models to determine scenarios of per adult consumption if no tobacco control measures had been employed.Research results will be used to support advocacy for tobacco tax policies. Findings will be sent to policymakers, stakeholders, and to members of the WHO Framework Convention on Tobacco Control (FCTC) Working Group (to inform their work. For local governments and international health organizations, the research will provide valuable evidence about the impact of tobacco taxes on the most vulnerable groups in lower- and middle-income countries."
IADB-ME-L1045	AG	31110	The general objective of the program is to contribute to sustained productivity gains in Mexico¿s agriculture sector by strengthening the quality of services provided by SAGARPA and its agencies through improvements in: (i) capacity to protect and improve food health and safety; (ii) capacity to generate and transfer technological innovations in agriculture and forestry; (iii) efficiency, quality of service, and transparency in the delivery of assistance and services to producers; and (iv) scientific research capacity to provide a reliable basis for the sustainable management of fisheries resources.
XM-DAC-301-2-107163-001	00005	22010	"Increasingly,""digital natives""-people raised with digital technology-leverage cyberspace to organize and change their worlds. The change they are driving is not always positive, however. This presents new challenges for governing institutions as the lines between legitimate and illegitimate, civil and uncivil action become blurred. The reaction of many governments to cyber-enabled threats has been to securitize cyberspace by imposing censorship, surveillance, and other forms of control. However, restrictions to the openness of cyberspace endanger its capacities to enhance productivity, prosperity, communication, good government, and personal and communal empowerment.In Latin America cyberspace is often used by transnational criminal gangs and narco-traffickers, posing threats to the state. Here, two-thirds of Internet users are under 25, and of all Internet users, 84% are Facebook users. There are growing possibilities for fraud and cybercrime. Countries such as Brazil and Mexico are already hotbeds for cybercrime worldwide.Led by the SecDev Group, this research project will examine such issues in Latin America, where the contest between securitization and preservation of openness in cyberspace is driven by criminal activity. Researchers will combine a general panorama of organized crime and cyber-security with in-depth regional cases, producing an edited volume. Their findings are expected to make an important contribution to a number of regional legislative discussions about Internet regulation."
XM-DAC-301-2-106954-001	00004	12110	"Tobacco use in many Latin American countries is high among  boys, girls, men, and women. However, research has yet to explore differences in cigarette smoking rates between lower- and higher-income groups in middle-income countries such as Brazil, Mexico, and Uruguay. Meanwhile, existing studies on the impact of tobacco taxes are based on average""price elasticity of demand,""a measure that shows how overall demand for cigarettes shifts in response to a change in price but ignores the income distribution effects of raising taxes.This research will focus on Brazil, Mexico, and Uruguay as a multi-country case study for Latin America. These countries were selected because they have relatively advanced tobacco control policies and have available data - primarily the Global Adult Tobacco Survey (GATS). These countries also have tobacco control researchers with the capacity to work with this data.Using a common methodology, research teams in the three countries will evaluate-the evolution of smoking inequalities;-the broad impact of tax and other tobacco control policies on per capita consumption;-the different price elasticities according to economic and social groups, allowing for the discussion of the income distribution effect of taxes; and-how other tobacco control policies affect smoking behaviours of different groups of smokersResearchers  will describe in detail smoking inequalities and tobacco control interventions of the past decade, especially fiscal policies. They will also use econometric demand models to determine scenarios of per adult consumption if no tobacco control measures had been employed.Research results will be used to support advocacy for tobacco tax policies. Findings will be sent to policymakers, stakeholders, and to members of the WHO Framework Convention on Tobacco Control (FCTC) Working Group (to inform their work. For local governments and international health organizations, the research will provide valuable evidence about the impact of tobacco taxes on the most vulnerable groups in lower- and middle-income countries."
IADB-ME-L1086	ED-PRI	11220	The overall objective of the program is to improve the educational physical infrastructure in eligible educational institutions where basic public education in Mexico is taught.
IADB-ME-L1103	FM-MOR	24040	The general objective of the program is to help reduce the housing deficit in Mexico by financing the construction of low-income housingand by funding financial intermediaries in order to facilitate access to housing for unaffiliated workers. The program¿s specific objectivesare: (i) to increase the construction of low-income housing by providing credit to developers to boost housing stock (bridge loans); and(ii) to increase access to housing for workers unaffiliated with social security by providing credit solutions (mortgages, microloans, andself-construction loans)
XM-DAC-41114-OUTPUT-00083505	1	51010	This project will strengthen climate change capacities in the mining sector and in the detergent and polymer manufacturing subsectors of the chemical industry sector in Mexico.
IADB-ME-L1114	IS-EMP	16020	The objective of PACE III is to support STPS to improve the effectivenes and efficiency of labor market policies and programs.
XM-DAC-301-2-106885-001	00001	12110	Mexico's growing rate of obesity has seen the government explore how front-of-package labels might encourage better food choices by its citizens.Mexico's disease profile has been transformed from one of hunger and infectious and parasitic diseases to one dominated by obesity, diabetes, and othernutrition-related non-communicable diseases.  The country's rapid shifts in dietary and physical activity patterns, along with higher rates of obesity, areamong the highest ever recorded.The government's response to this problem includes plans for a front-of-package (FOP) labelling system that will promote better food choices and improvenutrition literacy among citizens. At present, the country has no mandatory nutritional labelling or regulations on what the food industry can put on foodlabels.Many high-income countries have food-labelling systems, with varied levels of success. Major food companies often object to labelling systems that aresimple, promote healthy foods, are science-based, and that countries set up without direct input from the industry.And there are concerns that the Guideline Daily Amount (GDA) system, common to developed countries is complex and may in fact mislead consumers.This research project aims to describe and better understand the political, social, legal, and financial factors that support or constrain Mexico's proposedFOP nutrition labels plans. It involves an assessment of changes in consumers'behaviour, and of how they might understand, accept, and use FOP labellingbefore and after it comes into force.Given the challenges that may be part of any plan to adopt and implement FOP labels, the project will also assess the impacts that change might create amongstakeholder groups, such as politicians, consumers, advocates, and industry leaders. It will also measure the change in availability of food products withnew nutrition labelling.This research on a food labelling system in Mexico may be one of the first examples of such a project in a LMIC and could eventually apply to other LMICs.Researchers intend to publish their results and present reports on progress, barriers, and solutions at local and regional meetings in the second year ofimplementation. This will include a report on the political context, political process, and stakeholder reactions once the new labelling system is in force.
IADB-ME-L1121	PA-FCC	41010	The specific objectives of the program are: (i) to scale-up the investments into the development of a low-carbon housing market by providing lines of credit and guarantee products to the LFIs, (ii) to provide access to green housing and therefore energy savings to the part of the population that is not currently covered by the existing Hipoteca Verde program, and (iii) to transform the housing construction market towards the construction of low-carbon houses with a high energy saving and GHG emission reduction potential.
XI-IATI-EC_ECHO-ECHO/-CM/BUD/2013/91002	PROT	72010	
NL-KVK-27108436-A-02753-02:MX	1	31110	The project covers the inter-institutional agreement between Oxfam Novib and Oxfam Mexico. Oxfam Mexico receives 150,000 Euros to strengthen their institutional work with civil society and and their service to Mexican society.This proposal seeks support from Oxfam NOVIB during this programmatic transition for two of its core projects which have been identified as strategic processes to be consolidated, strengthened and replicated: (1) Strengthening the Organizational and Advocacy Capacities of Migrant Organizations; and (2) Conservation and Sustainable Management of Dry Lands in Mesoamerica. A third component of support is requested to enable Oxfam Mexico to develop a security plan and provide security training for its field staff, in a context of increasing insecurity andviolence in several geographical areas. This is considered an essential element to enable the organization to continue its programming effectively throughout the country, while reducing the risk to which staff are exposed.
IADB-ME-L1115	IS-MIG	13010	The general objective of the operation is to support the Mexican government in expanding investment efforts by Mexican migrants living abroad. The specific objectives are to: (i) strengthen the operating performance of P3x1 with respect to its efficiency, transparency, and accountability; and (ii) step up participation by migrants and strengthen their coordination with the communities of origin and the three levels of government. These actions will be accompanied by investments in basic and social infrastructure and productive projects.
NL-KVK-27108436-A-03027-02:MX	1	31110	Oxfam Internationals decision to incorporate new members, especially from emerging developing countries, is part of its aim to become a more global, relevant and effective organization to promote social change as a culturally diverse confederation working from several different priority approaches and strategies.Oxfam Mexico (OM) is the first formal member of the confederation incorporated through this process. As a Mexican organization with a history of its own and links to other Latin American countries, Oxfam Mexico joined the confederation with the perspective of Oxfams role in the region, hoping to contribute to enrich it.This project will Strengthening Oxfam Mexicos International Role and Contributions through Regional Campaigning and Advocacy in LAC 2013-2014
XM-DAC-301-2-107231-002	00005	43082	As it affirms its status as a middle- income region, Latin America and the Caribbean has experienced changes in research for development funding. Traditional donors have withdrawn their funding. With stronger economies, governments in the region have increased spending on science, technology, and innovation (STI). They have also enhanced their outgoing international scientific cooperation.Despite the signs pointing to increased regional cooperation in STI for development, there are large knowledge gaps about the details of this type of collaboration. These can only begin to be filled by answering the following questions:-Are efforts to support applied research for development the outcome of deliberate political decisions to support this type of research or the result of a bottom-up demand to dedicate STI resources, or a combination of both?- What proportion of new and existing STI funding is being dedicated to research for development in countries leading the push for more STI funding in the region?- How does each country define this type of applied research?- How do these countries partner with neighbouring countries, or countries facing similar socio-economic challenges, for research for development projects?- What specific research issues do these countries wish to pursue through collaboration with other countries in the Americas?- Is research on the determinants of equitable economic growth and sustainable development present in these work agendas? How?This project will establish four Joint Scientific Chairs for Research for Development in the Americas to support and manage cooperation in research for development in the Americas. This support will be offered in collaboration with local partners (national or state science granting councils or other public research funding agencies) in Brazil, Chile, Colombia, and Mexico. Chairs will focus their research on hemispheric cooperation. They will also examine their country's role in supporting research for equitable and sustainable development at the national and regional levels. They will study and share evidence from successful Latin American cases. In doing so, the Chairs will improve domestic and international communication and coordination on the role of science and research in development. Ultimately, this will help stimulate this type of cooperation in the future.IDRC will contribute a maximum of $200,000 for each Chair to implement a research program which considers the characteristics of each country and its focus area of cooperation within the region. Chairs will be located in research institutions with sound track records of collaborating with the national scientific granting councils from each of the four countries. IDRC and a national scientific granting agency from each of the four countries will manage the selection process.
XM-DAC-41114-OUTPUT-00086487	1	51010	Implementación de plataforma para mitigación y adaptación al cambio climatico y el desarrollo bajo en carbono en México
XM-DAC-41114-OUTPUT-00086731	7	99810	Constituye el programa de trabajo multianual para la implementación del Acuerdo Marco de Colaboración entre México y el PNUD.
XM-DAC-301-2-107497-001	00005	15110	Open Government initiatives around the world promise to strengthen democracy and citizens'quality of life through a combination of technology, government transparency, and citizen participation. Mexico and Brazil are founding members of Latin America's Open Government Partnership (OGP), a new multilateral initiative that aims to get concrete commitments from governments to promote transparency, empower citizens, fight corruption, and harness new technologies to strengthen governance.Sixteen other Latin American countries have prepared and presented their initial action plans for greater openness in government to the OGP. However, to go beyond the rhetoric of openness, governments need to provide evidence that their priorities are based on the real needs of their citizens. In addition, they must make progress in the following areas:-creating reciprocal channels of communication between government departments and civil society;-implementing freedom of information acts; and,-developing and integrating open data strategies.Many Latin American governments are taking their first steps in this long process. It requires a new range of technological solutions and fundamental cultural shifts within governments. Despite the initial commitment to Latin America's Open Government agenda, early analysis reveals challenges in consolidating open government in the region. Among these, the most crucial include:-enormous diversity in how countries understand open government;-concerns about how complex government documents are for average citizens;-weak consultation processes;-lack of innovation in countries'open government activities;-vague commitments to open government; and,-lack of concrete targets.This project aims to meet these challenges and support progress in open government in Latin America. It builds on the successful experiences of the Latin American e-Government (RedGealc) network, an IDRC-supported project, which served as a channel for sharing e-government experiences in the region. The project will analyze the rapidly changing nature of open government in Latin America and bring together government representatives involved in a wide range of transformations to establish a road map for meeting open government commitments.The project team will also develop a diagnostic tool to build a common conceptual understanding of open government initiatives. Researchers will develop analytical tools to help assess whether government activities are meeting open government standards. They will also identify institutional obstacles to overcome in order to move toward greater openness.
XI-IATI-EC_ECHO-ECHO/-CM/BUD/2013/91004	HLTH	72010	
XI-IATI-EC_ECHO-ECHO/DRF/BUD/2013/93004	HLTH	72010	
XM-DAC-301-2-107231-003	00005	43082	As it affirms its status as a middle- income region, Latin America and the Caribbean has experienced changes in research for development funding. Traditional donors have withdrawn their funding. With stronger economies, governments in the region have increased spending on science, technology, and innovation (STI). They have also enhanced their outgoing international scientific cooperation.Despite the signs pointing to increased regional cooperation in STI for development, there are large knowledge gaps about the details of this type of collaboration. These can only begin to be filled by answering the following questions:-Are efforts to support applied research for development the outcome of deliberate political decisions to support this type of research or the result of a bottom-up demand to dedicate STI resources, or a combination of both?- What proportion of new and existing STI funding is being dedicated to research for development in countries leading the push for more STI funding in the region?- How does each country define this type of applied research?- How do these countries partner with neighbouring countries, or countries facing similar socio-economic challenges, for research for development projects?- What specific research issues do these countries wish to pursue through collaboration with other countries in the Americas?- Is research on the determinants of equitable economic growth and sustainable development present in these work agendas? How?This project will establish four Joint Scientific Chairs for Research for Development in the Americas to support and manage cooperation in research for development in the Americas. This support will be offered in collaboration with local partners (national or state science granting councils or other public research funding agencies) in Brazil, Chile, Colombia, and Mexico. Chairs will focus their research on hemispheric cooperation. They will also examine their country's role in supporting research for equitable and sustainable development at the national and regional levels. They will study and share evidence from successful Latin American cases. In doing so, the Chairs will improve domestic and international communication and coordination on the role of science and research in development. Ultimately, this will help stimulate this type of cooperation in the future.IDRC will contribute a maximum of $200,000 for each Chair to implement a research program which considers the characteristics of each country and its focus area of cooperation within the region. Chairs will be located in research institutions with sound track records of collaborating with the national scientific granting councils from each of the four countries. IDRC and a national scientific granting agency from each of the four countries will manage the selection process.
IADB-ME-L1128	SA-HSS	12110	The proposed loan operation aims at strengthening the Mexican Health Care Sector. The focus will be on the program; Medical Insurance for the New Generation. the goal of this program is to protect families against financial risks due to health care expenditures. The program finances healthcare for children born since december 2006.
XM-DAC-301-2-107474-002	00004	16020	Women's increased participation in Latin America's labour markets has been one of the most significant changes to those markets in the last 30 years. Still, their participation is well below men's, and the rate of increase is slowing down.Despite high economic growth, falling income inequality, poverty reduction, and improvements in women's education, women continue to be at a disadvantage for job opportunities and working conditions. These inequalities suggest that women face gender-based constraints. These may be based on rules, customs, beliefs, and values. They may also be the result of institutions that reproduce these inequalities. Among women, there are also strong differences. Uneducated and poor women participate less in paid work.Different policies have tried to tackle these gender disparities. Policies to foster employment have focused on promoting entrepreneurship through support for micro-enterprises. There remains a key gap, however. Policies designed to improve the quality of jobs for women who are already employed are scarce, and their impact is not clear. The region has expanded social protection programs, yet how these programs support women's economic empowerment and labour market participation is disputed. Some argue that social protection programs can reinforce traditional women's roles while others argue that they enhance women's autonomy and empowerment.This project seeks to explore these issues, and more specifically, the determinants of women's labour market participation. Researchers will examine the constraints that explain occupational segregation (i.e., fields of work occupied mostly or only by women), precarious work, and low-income levels. They will analyze the consequences on poverty, inequality, and growth. They will apply an innovative mix of research methods and analytical approaches to provide in-depth insight into the way gender-based constraints operate in different contexts, and what can be done to transform them. The project will help strengthen skills and knowledge in the area of gender, labour market, and social policy analysis and evaluation among policymakers, women's advocacy NGOs, and young researchers.The project involves eight country case studies, regional and comparative research, and a call for impact evaluation studies, training, and dissemination activities. The findings will serve to improve the effectiveness of current policies to promote gender equality in labour markets and to ensure better economic opportunities for women. The Centro Interdisciplinario de Estudios sobre el Desarrollo, Uruguay, will lead the project, in collaboration with the Center for Distributive, Labour and Social Studies at Universidad Nacional de La Plata.
XM-DAC-301-2-107474-001	00004	16020	Women's increased participation in Latin America's labour markets has been one of the most significant changes to those markets in the last 30 years. Still, their participation is well below men's, and the rate of increase is slowing down.Despite high economic growth, falling income inequality, poverty reduction, and improvements in women's education, women continue to be at a disadvantage for job opportunities and working conditions. These inequalities suggest that women face gender-based constraints. These may be based on rules, customs, beliefs, and values. They may also be the result of institutions that reproduce these inequalities. Among women, there are also strong differences. Uneducated and poor women participate less in paid work.Different policies have tried to tackle these gender disparities. Policies to foster employment have focused on promoting entrepreneurship through support for micro-enterprises. There remains a key gap, however. Policies designed to improve the quality of jobs for women who are already employed are scarce, and their impact is not clear. The region has expanded social protection programs, yet how these programs support women's economic empowerment and labour market participation is disputed. Some argue that social protection programs can reinforce traditional women's roles while others argue that they enhance women's autonomy and empowerment.This project seeks to explore these issues, and more specifically, the determinants of women's labour market participation. Researchers will examine the constraints that explain occupational segregation (i.e., fields of work occupied mostly or only by women), precarious work, and low-income levels. They will analyze the consequences on poverty, inequality, and growth. They will apply an innovative mix of research methods and analytical approaches to provide in-depth insight into the way gender-based constraints operate in different contexts, and what can be done to transform them. The project will help strengthen skills and knowledge in the area of gender, labour market, and social policy analysis and evaluation among policymakers, women's advocacy NGOs, and young researchers.The project involves eight country case studies, regional and comparative research, and a call for impact evaluation studies, training, and dissemination activities. The findings will serve to improve the effectiveness of current policies to promote gender equality in labour markets and to ensure better economic opportunities for women. The Centro Interdisciplinario de Estudios sobre el Desarrollo, Uruguay, will lead the project, in collaboration with the Center for Distributive, Labour and Social Studies at Universidad Nacional de La Plata.
XM-DAC-41114-OUTPUT-00087272	1	16010	El proyecto establece un marco de cooperación programática con la Secretaria de Desarrollo Social con el cual implementar iniciativas que responden holísticamente a las necesidades detectadas y requerimientos de esta instancia gubernamental.
IADB-ME-L1119	PA-FCC	41010	This loan is destined to: i) cofinance projects for electric power generation from renewable sources; and ii) give continuity to Bank support for SME contractors and providers of the Mexican oil industry.
XM-DAC-41114-OUTPUT-00088058	1	15110	Fortalecimiento de las políticas de transversalización de género con las contrapartes gubernamentales.
XM-DAC-41114-OUTPUT-00086082	1	51010	Assist Mexico to prepare its first Biennial Update Report (BUR) to the UNFCCC.To strengthen institutional capacity in integrating climate change national strategies into development priorities while fulfilling obligations to UNFCCC.
IADB-ME-L1141	FM-REG	24010	Increasing the productivity of the Mexican economy through: i) Improving the efficiency of the financial sector. ii) Increased competition in the telecommunications sector.
XM-DAC-41114-OUTPUT-00088566	1	15110	El Observatorio Nacional del Emprendedor proveerá de información de utilidad para la generación, actualización y toma de decisiones en la instrumentación de las políticas públicas en favor de emprendedores y de las PyMES del país.
IADB-ME-L1091	IS-POV	16010	The objective of the investment loan ME-L1091 is to contribute to the development of capabilities and to the rupture of the intergenerational transmission of poverty, through investments that improve education, health and nutrition of the poor. The specific goals of this operation are: i) to provide technical support to the design, implementation, and evaluation of key reforms to the PDHO: ii) to strengthen the effective coordination between the PDHO and the sectors in charge of providing health, education, and nutrition services; and iii) to contribute towards generating knowledge to better monitor and evaluate the PDHO.
XM-DAC-41114-OUTPUT-00088123	2	15151	Se acompañará al TEPJF en un proceso institucional que contribuya a potenciar e inducir acciones en materia de acceso a la justicia electoral y el fomento de la cultura de la legalidad con énfasis en comunidades indígenas.
XM-DAC-41114-OUTPUT-00089725	12	91010	Proyecto de Management para el manejo de los recursos de la fuente de fondos 888.
XM-DAC-41114-OUTPUT-00087891	2	15150	Consolidar el programa de colaboración con el GEF para maximizar los recursos el país, en apoyo a las políticas nacionales de protección del medio ambiente, y el cumplimiento de los compromisos internacionales
XM-DAC-41114-OUTPUT-00089477	2	15150	El objetivo del proyecto es coadyuvar con la semarnat en el fortalecimiento de la corresponsabilidad gobierno sociedad en la política y gestión ambiental para garantizar la preservación dle medio ambiente.
XM-DAC-41114-OUTPUT-00089523	5	74010	El objetivo del proyecto es contribuir al fortalecimiento de las capacidades para construir un desarrollo seguro, resiliente, con inversiones de baja vulnerabilidad ante desastres.
XM-DAC-41114-OUTPUT-00089948	1	23010	El presente proyecto tiene como objetivo consolidar iniciativas estratégicas que fortalezcan la actuación de la Comisión Nacional de Áreas Naturales Protegidas para el manejo efectivo de las áreas naturales protegidas en el marco de la Estrategia 2040.
XM-DAC-41114-OUTPUT-00087099	1	51010	El proyecto tiene como objetivo transformar la gestión y cobertura de las áreas protegidas terrestres y costeras en México para atenuar los impactos directos e indirectos del cambio climático en la biodiversidad de interés mundial.
XM-DAC-301-2-107607-001	00004	15113	Project AbstractThis project will propose concrete recommendations, based on applied research that will help Latin America's border regions tackle illicit drug activity. The project team will establish a network of researchers across Latin America who will document the political economy of illicit activity in eight Latin American countries: Argentina, Brazil, Bolivia, Colombia, Ecuador, Guatemala, Mexico, and Peru.The cost of Latin America's drug problemAcross the region, the scale of cross-border illicit drug activity is just beginning to be understood. Rough estimates from the United Nations indicate that the commercial value of the cross-border illegal drug trade in Latin America is US$450 billion annually.Add another US$12 billion for the illegal trafficking of small arms and yet another US$40 billion for the illegal tobacco trade. Then, there is the violence. Latin America's border towns are now home to some of the extreme levels of violence in the region.The problem with security strategiesA number of countries and international organizations have championed cross-border security strategies. These promise an integrated and cooperative approach to tackling illicit networks and cross-border trade. But the approaches are often mired by institutional weakness, eroded by competing interests or corruption, and thwarted by powerful illicit networks. The resources and level of influence these networks have at their disposal far outstrip those available to most border services and local governments.How a regional research network will helpThe research network will develop a broad understanding of the illegal markets operating in all eight countries, along with the techniques and strategies illicit networks use to exploit weaknesses in border controls as they expand their activities to new markets. The project objective is to investigate the geography, nature, scale, and impact of transnational organized crime.Researchers will map illegal markets by characterizing the location, nature, and scale of illegal activity (drug trafficking, small arms, chemical precursors, human trafficking, contraband smuggling, and money laundering). They will identify actors and institutions who can enhance the accountability and legitimacy of public and private authorities.The network will also assess the effectiveness of government strategies and policies to stop illicit activity across borders across the region. They will make evidence-based recommendations to policymakers, business leaders, and community-based actors in order to reduce illicit activity and the violence that comes with it. Ultimately, the goal is to transform these border regions into more secure and prosperous areas.
